programme_name,normalized_programme_name,award_level,field_category,institution_name,institution_registration_number,regulator,minimum_entry_requirements,required_subjects,suitable_for_form_four_leaver,duration,fees_if_available,study_mode,campus_location,accreditation_status_if_available,application_link,official_source_url,source_type,confidence_level,last_verified_date,notes
Ordinary Diploma in Social Work,ordinary diploma social work,ordinary diploma,social work,COVENANT INSTITUTE OF TANZANIA,REG/BTP/135,NACTVET,"Holders of Certificate of Secondary Education Examination (CSEE) with at least four (4) passes in non-religious subjects (Duration: 3 year(s); Capacity: 100; Fees: Local Fee: TSH. 1,150,000/=) || Holders of Basic Technician Certificate (NTA Level 4) in Social Work Gender, Community Development, Youth Work OR Advanced Certificate of Secondary Education Examination (ACSEE) with at least one Principal pass and one Subsidiary in Principal subjects (Duration: 2 year(s); Capacity: 100)",,yes,3; 2,"Local Fee: TSH. 1,150,000/=",unknown,Temeke Municipal Council - Dar es Salaam,,,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Admission capacity: 100
Aquaculture and Fish Processing (FFP),aquaculture fish processing ffp,vocational certificate,agriculture,Chato DVTC,,VETA,,,unknown,,,full-time,S.L.P 168 CHATO GEITA,,,https://www.veta.go.tz/publication/doc/ORODHA%20YA%20VYUO%20VYA%20VETA%20NA%20FANI%20ZITAKAZOTOLEWA%20KWENYE%20VYUO%20WA%20VETA%20MWAKA%202026.pdf,regulator,high,2026-04-24,Training level(s): LEVEL I -Il; Boarding/day: Bweni na kutwa
Designing Sewing and Cloth Technology (DSCT),designing sewing cloth technology dsct,vocational certificate,beauty/fashion,Chato DVTC,,VETA,,,unknown,,,full-time,S.L.P 168 CHATO GEITA,,,https://www.veta.go.tz/publication/doc/ORODHA%20YA%20VYUO%20VYA%20VETA%20NA%20FANI%20ZITAKAZOTOLEWA%20KWENYE%20VYUO%20WA%20VETA%20MWAKA%202026.pdf,regulator,high,2026-04-24,Training level(s): LEVEL I -Il; Boarding/day: Bweni na kutwa
Electrical Installation (EL),electrical installation el,vocational certificate,electrical,Chato DVTC,,VETA,,,unknown,,,full-time,S.L.P 168 CHATO GEITA,,,https://www.veta.go.tz/publication/doc/ORODHA%20YA%20VYUO%20VYA%20VETA%20NA%20FANI%20ZITAKAZOTOLEWA%20KWENYE%20VYUO%20WA%20VETA%20MWAKA%202026.pdf,regulator,high,2026-04-24,Training level(s): LEVEL I -Il; Boarding/day: Bweni na kutwa
Food Production (FP),food production fp,vocational certificate,hospitality,Chato DVTC,,VETA,,,unknown,,,full-time,S.L.P 168 CHATO GEITA,,,https://www.veta.go.tz/publication/doc/ORODHA%20YA%20VYUO%20VYA%20VETA%20NA%20FANI%20ZITAKAZOTOLEWA%20KWENYE%20VYUO%20WA%20VETA%20MWAKA%202026.pdf,regulator,high,2026-04-24,Training level(s): LEVEL I -Il; Boarding/day: Bweni na kutwa
"Food, Beverage Service and Sales (FBSS)",food beverage service sales fbss,vocational certificate,other,Chato DVTC,,VETA,,,unknown,,,full-time,S.L.P 168 CHATO GEITA,,,https://www.veta.go.tz/publication/doc/ORODHA%20YA%20VYUO%20VYA%20VETA%20NA%20FANI%20ZITAKAZOTOLEWA%20KWENYE%20VYUO%20WA%20VETA%20MWAKA%202026.pdf,regulator,high,2026-04-24,Training level(s): LEVEL I -Il; Boarding/day: Bweni na kutwa
"Information and, Communication Technology (ICT)",information communication technology ict,vocational certificate,ICT,Chato DVTC,,VETA,,,unknown,,,full-time,S.L.P 168 CHATO GEITA,,,https://www.veta.go.tz/publication/doc/ORODHA%20YA%20VYUO%20VYA%20VETA%20NA%20FANI%20ZITAKAZOTOLEWA%20KWENYE%20VYUO%20WA%20VETA%20MWAKA%202026.pdf,regulator,high,2026-04-24,Training level(s): LEVEL I -Il; Boarding/day: Bweni na kutwa
Masonry and Bricklaying (MB),masonry bricklaying mb,vocational certificate,construction,Chato DVTC,,VETA,,,unknown,,,full-time,S.L.P 168 CHATO GEITA,,,https://www.veta.go.tz/publication/doc/ORODHA%20YA%20VYUO%20VYA%20VETA%20NA%20FANI%20ZITAKAZOTOLEWA%20KWENYE%20VYUO%20WA%20VETA%20MWAKA%202026.pdf,regulator,high,2026-04-24,Training level(s): LEVEL I -Il; Boarding/day: Bweni na kutwa
Motor Vehicle Mechanics (MVM),motor vehicle mechanics mvm,vocational certificate,mechanical,Chato DVTC,,VETA,,,unknown,,,full-time,S.L.P 168 CHATO GEITA,,,https://www.veta.go.tz/publication/doc/ORODHA%20YA%20VYUO%20VYA%20VETA%20NA%20FANI%20ZITAKAZOTOLEWA%20KWENYE%20VYUO%20WA%20VETA%20MWAKA%202026.pdf,regulator,high,2026-04-24,Training level(s): LEVEL I -Il; Boarding/day: Bweni na kutwa
Plumbing and Pipe Fitting (PPF),plumbing pipe fitting ppf,vocational certificate,mechanical,Chato DVTC,,VETA,,,unknown,,,full-time,S.L.P 168 CHATO GEITA,,,https://www.veta.go.tz/publication/doc/ORODHA%20YA%20VYUO%20VYA%20VETA%20NA%20FANI%20ZITAKAZOTOLEWA%20KWENYE%20VYUO%20WA%20VETA%20MWAKA%202026.pdf,regulator,high,2026-04-24,Training level(s): LEVEL I -Il; Boarding/day: Bweni na kutwa
"Designing Sewing and Cloth, Technology (DSCT)",designing sewing cloth technology dsct,vocational certificate,beauty/fashion,Chemba DVTC,,VETA,,,unknown,,,full-time,S.L.P 53 CHEMBA DODOMA,,,https://www.veta.go.tz/publication/doc/ORODHA%20YA%20VYUO%20VYA%20VETA%20NA%20FANI%20ZITAKAZOTOLEWA%20KWENYE%20VYUO%20WA%20VETA%20MWAKA%202026.pdf,regulator,high,2026-04-24,Training level(s): LEVEL I -Il; Boarding/day: Bweni na kutwa
Electrical Installation (EL),electrical installation el,vocational certificate,electrical,Chemba DVTC,,VETA,,,unknown,,,full-time,S.L.P 53 CHEMBA DODOMA,,,https://www.veta.go.tz/publication/doc/ORODHA%20YA%20VYUO%20VYA%20VETA%20NA%20FANI%20ZITAKAZOTOLEWA%20KWENYE%20VYUO%20WA%20VETA%20MWAKA%202026.pdf,regulator,high,2026-04-24,Training level(s): LEVEL I -Il; Boarding/day: Bweni na kutwa
Masonry and Bricklaying (MB),masonry bricklaying mb,vocational certificate,construction,Chemba DVTC,,VETA,,,unknown,,,full-time,S.L.P 53 CHEMBA DODOMA,,,https://www.veta.go.tz/publication/doc/ORODHA%20YA%20VYUO%20VYA%20VETA%20NA%20FANI%20ZITAKAZOTOLEWA%20KWENYE%20VYUO%20WA%20VETA%20MWAKA%202026.pdf,regulator,high,2026-04-24,Training level(s): LEVEL I -Il; Boarding/day: Bweni na kutwa
Designing Sewing and Cloth Technology (DSCT),designing sewing cloth technology dsct,vocational certificate,beauty/fashion,Chunya DVTC,,VETA,,,unknown,,,full-time,S.L.P 117 CHUNYA MBEYA,,,https://www.veta.go.tz/publication/doc/ORODHA%20YA%20VYUO%20VYA%20VETA%20NA%20FANI%20ZITAKAZOTOLEWA%20KWENYE%20VYUO%20WA%20VETA%20MWAKA%202026.pdf,regulator,high,2026-04-24,Training level(s): LEVEL I -Il; Boarding/day: Bweni na kutwa
Electrical Installation (EL),electrical installation el,vocational certificate,electrical,Chunya DVTC,,VETA,,,unknown,,,full-time,S.L.P 117 CHUNYA MBEYA,,,https://www.veta.go.tz/publication/doc/ORODHA%20YA%20VYUO%20VYA%20VETA%20NA%20FANI%20ZITAKAZOTOLEWA%20KWENYE%20VYUO%20WA%20VETA%20MWAKA%202026.pdf,regulator,high,2026-04-24,Training level(s): LEVEL I -Il; Boarding/day: Bweni na kutwa
Masonry and Bricklaying (MB),masonry bricklaying mb,vocational certificate,construction,Chunya DVTC,,VETA,,,unknown,,,full-time,S.L.P 117 CHUNYA MBEYA,,,https://www.veta.go.tz/publication/doc/ORODHA%20YA%20VYUO%20VYA%20VETA%20NA%20FANI%20ZITAKAZOTOLEWA%20KWENYE%20VYUO%20WA%20VETA%20MWAKA%202026.pdf,regulator,high,2026-04-24,Training level(s): LEVEL I -Il; Boarding/day: Bweni na kutwa
Stashahada ya Ualimu Elimu ya Msingi mchepuo wa Sayansi ya jamii na lugha ya kiswahili (kwa kutumia lugha ya kiswahili),stashahada ya ualimu elimu ya msingi mchepuo wa sayansi ya jamii na lugha ya kiswahili kwa kutumia lugha ya kiswahili,diploma,education,Chuo cha Ualimu Bunda,,Ministry,"Wahitimu wa Kidato cha sita wenye ufaulu wa Daraja la I-III kwa kiwango cha Principal Pass mbili (02), au walimu waliohitimu Astashahada (Cheti) ya Ualimu Elimu ya Awali au Msingi.",,no,2 years,,full-time,"Bunda, Mara; P.O. Box 01 Bunda",,https://tcm.moe.go.tz/,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,high,2026-04-24,Programme language medium: Kiswahili. || Government teacher college application through ministry system tcm.moe.go.tz.
Stashahada ya Ualimu Elimu ya Msingi mchepuo wa Sayansi na Hisabati (kwa kutumia lugha ya kiswahili),stashahada ya ualimu elimu ya msingi mchepuo wa sayansi na hisabati kwa kutumia lugha ya kiswahili,diploma,education,Chuo cha Ualimu Bustani,,Ministry,"Wahitimu wa Kidato cha sita wenye ufaulu wa Daraja la I-III kwa kiwango cha Principal Pass mbili (02), au walimu waliohitimu Astashahada (Cheti) ya Ualimu Elimu ya Awali au Msingi.",,no,2 years,,full-time,,,https://tcm.moe.go.tz/,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,high,2026-04-24,Science and Mathematics pathway; Kiswahili medium. || Government teacher college application through ministry system tcm.moe.go.tz.
Stashahada ya Ualimu Elimu ya Msingi mchepuo wa Sanaa na Michezo (kwa kutumia lugha ya Kiingereza),stashahada ya ualimu elimu ya msingi mchepuo wa sanaa na michezo kwa kutumia lugha ya kiingereza,diploma,education,Chuo cha Ualimu Butimba,,Ministry,"Wahitimu wa Kidato cha sita wenye ufaulu wa Daraja la I-III kwa kiwango cha Principal Pass mbili (02), au walimu waliohitimu Astashahada (Cheti) ya Ualimu Elimu ya Awali au Msingi.",,no,2 years,,full-time,"P.O. Box 1411, Mwanza",,https://tcm.moe.go.tz/,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,high,2026-04-24,Arts and sports pathway; English medium. || Government teacher college application through ministry system tcm.moe.go.tz.
Stashahada ya Ualimu Elimu ya Awali (kwa kutumia lugha ya kiingereza),stashahada ya ualimu elimu ya awali kwa kutumia lugha ya kiingereza,diploma,education,Chuo cha Ualimu Dakawa,,Ministry,"Wahitimu wa Kidato cha sita wenye ufaulu wa Daraja la I-III kwa kiwango cha Principal Pass mbili (02), au walimu waliohitimu Astashahada (Cheti) ya Ualimu Elimu ya Awali au Msingi.",Economics; Commerce; Book Keeping,no,2 years,,full-time,"Dakawa, 60 km from Morogoro town on Dodoma road; P.O. Box 944, Morogoro",,https://tcm.moe.go.tz/,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,high,2026-04-24,"Early childhood pathway; English medium. Applicants with Economics, Commerce and Book Keeping are specifically advised to choose early childhood diploma. || Government teacher college application through ministry system tcm.moe.go.tz."
Stashahada ya Ualimu Elimu ya Msingi mchepuo wa Sanaa na Michezo (kwa kutumia lugha ya kiswahili),stashahada ya ualimu elimu ya msingi mchepuo wa sanaa na michezo kwa kutumia lugha ya kiswahili,diploma,education,Chuo cha Ualimu Ilonga,,Ministry,"Wahitimu wa Kidato cha sita wenye ufaulu wa Daraja la I-III kwa kiwango cha Principal Pass mbili (02), au walimu waliohitimu Astashahada (Cheti) ya Ualimu Elimu ya Awali au Msingi.",,no,2 years,,full-time,,,https://tcm.moe.go.tz/,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,high,2026-04-24,Arts and sports pathway; Kiswahili medium. || Government teacher college application through ministry system tcm.moe.go.tz.
Stashahada ya Ualimu Elimu Maalumu (kwa kutumia lugha ya kiswahili),stashahada ya ualimu elimu maalumu kwa kutumia lugha ya kiswahili,diploma,education,Chuo cha Ualimu Kabanga,,Ministry,"Wahitimu wa Kidato cha sita wenye ufaulu wa Daraja la I-III kwa kiwango cha Principal Pass mbili (02), au walimu waliohitimu Astashahada (Cheti) ya Ualimu Elimu ya Awali au Msingi.",,no,2 years,,full-time,"Mubondo area, 12 km before Kasulu town; P.O. Box 265, Kasulu",,https://tcm.moe.go.tz/,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,high,2026-04-24,Special education pathway; Kiswahili medium. || Government teacher college application through ministry system tcm.moe.go.tz.
"Stashahada Maalumu ya Ualimu Elimu ya Msingi katika masomo ya sayansi na hisabati (PME, PCE, PBE, CBE, CME na CSME)",stashahada maalumu ya ualimu elimu ya msingi katika masomo ya sayansi na hisabati pme pce pbe cbe cme na csme,diploma,education,Chuo cha Ualimu Kasulu,,Ministry,"Wahitimu wa Kidato cha nne wenye ufaulu wa Daraja la I-III kwa kiwango cha alama C au zaidi katika masomo matatu; mawili kati yake yakiwa Basic Mathematics, Biology, Chemistry, Physics, Information and Computer Studies au Computer Science.",Basic Mathematics; Biology; Chemistry; Physics; Information and Computer Studies; Computer Science,yes,3 years,,full-time,,,https://tcm.moe.go.tz/,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,high,2026-04-24,Special three-year diploma for Form Four leavers. || Government teacher college application through ministry system tcm.moe.go.tz.
Stashahada ya Ualimu Elimu ya Awali (kwa kutumia lugha ya kiswahili),stashahada ya ualimu elimu ya awali kwa kutumia lugha ya kiswahili,diploma,education,Chuo cha Ualimu Katoke,,Ministry,"Wahitimu wa Kidato cha sita wenye ufaulu wa Daraja la I-III kwa kiwango cha Principal Pass mbili (02), au walimu waliohitimu Astashahada (Cheti) ya Ualimu Elimu ya Awali au Msingi.",Economics; Commerce; Book Keeping,no,2 years,,full-time,,,https://tcm.moe.go.tz/,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,high,2026-04-24,"Early childhood pathway; Kiswahili medium. Applicants with Economics, Commerce and Book Keeping are specifically advised to choose early childhood diploma. || Government teacher college application through ministry system tcm.moe.go.tz."
Stashahada ya Ualimu Elimu ya Awali (kwa kutumia lugha ya kiswahili),stashahada ya ualimu elimu ya awali kwa kutumia lugha ya kiswahili,diploma,education,Chuo cha Ualimu Kinampanda,,Ministry,"Wahitimu wa Kidato cha sita wenye ufaulu wa Daraja la I-III kwa kiwango cha Principal Pass mbili (02), au walimu waliohitimu Astashahada (Cheti) ya Ualimu Elimu ya Awali au Msingi.",Economics; Commerce; Book Keeping,no,2 years,,full-time,,,https://tcm.moe.go.tz/,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,high,2026-04-24,"Early childhood pathway; Kiswahili medium. Applicants with Economics, Commerce and Book Keeping are specifically advised to choose early childhood diploma. || Government teacher college application through ministry system tcm.moe.go.tz."
Stashahada ya Ualimu Elimu ya Msingi mchepuo wa Sayansi na Hisabati (kwa kutumia lugha ya kiswahili),stashahada ya ualimu elimu ya msingi mchepuo wa sayansi na hisabati kwa kutumia lugha ya kiswahili,diploma,education,Chuo cha Ualimu Kitangali,,Ministry,"Wahitimu wa Kidato cha sita wenye ufaulu wa Daraja la I-III kwa kiwango cha Principal Pass mbili (02), au walimu waliohitimu Astashahada (Cheti) ya Ualimu Elimu ya Awali au Msingi.",,no,2 years,,full-time,,,https://tcm.moe.go.tz/,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,high,2026-04-24,Science and Mathematics pathway; Kiswahili medium. || Government teacher college application through ministry system tcm.moe.go.tz.
"Stashahada Maalumu ya Ualimu Elimu ya Msingi katika masomo ya sayansi na hisabati (PME, PCE, PBE, CME na CBE)",stashahada maalumu ya ualimu elimu ya msingi katika masomo ya sayansi na hisabati pme pce pbe cme na cbe,diploma,education,Chuo cha Ualimu Kleruu,,Ministry,"Wahitimu wa Kidato cha nne wenye ufaulu wa Daraja la I-III kwa kiwango cha alama C au zaidi katika masomo matatu; mawili kati yake yakiwa Basic Mathematics, Biology, Chemistry, Physics, Information and Computer Studies au Computer Science.",Basic Mathematics; Biology; Chemistry; Physics; Information and Computer Studies; Computer Science,yes,3 years,,full-time,,,https://tcm.moe.go.tz/,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,high,2026-04-24,Special three-year diploma for Form Four leavers. || Government teacher college application through ministry system tcm.moe.go.tz.
"Stashahada Maalumu ya Ualimu Elimu ya Msingi katika masomo ya sayansi na hisabati (PME, PCE, PBE, CBE, CME na CSME)",stashahada maalumu ya ualimu elimu ya msingi katika masomo ya sayansi na hisabati pme pce pbe cbe cme na csme,diploma,education,Chuo cha Ualimu Korogwe,,Ministry,"Wahitimu wa Kidato cha nne wenye ufaulu wa Daraja la I-III kwa kiwango cha alama C au zaidi katika masomo matatu; mawili kati yake yakiwa Basic Mathematics, Biology, Chemistry, Physics, Information and Computer Studies au Computer Science.",Basic Mathematics; Biology; Chemistry; Physics; Information and Computer Studies; Computer Science,yes,3 years,,full-time,,,https://tcm.moe.go.tz/,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,high,2026-04-24,Special three-year diploma for Form Four leavers. || Government teacher college application through ministry system tcm.moe.go.tz.
Stashahada ya Ualimu Elimu ya Msingi mchepuo wa Sayansi na Hisabati (kwa kutumia lugha ya kiingereza),stashahada ya ualimu elimu ya msingi mchepuo wa sayansi na hisabati kwa kutumia lugha ya kiingereza,diploma,education,Chuo cha Ualimu Mamire,,Ministry,"Wahitimu wa Kidato cha sita wenye ufaulu wa Daraja la I-III kwa kiwango cha Principal Pass mbili (02), au walimu waliohitimu Astashahada (Cheti) ya Ualimu Elimu ya Awali au Msingi.",,no,2 years,,full-time,,,https://tcm.moe.go.tz/,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,high,2026-04-24,Science and Mathematics pathway; English medium. || Government teacher college application through ministry system tcm.moe.go.tz.
Stashahada ya Ualimu Elimu ya Msingi mchepuo wa Sayansi na Hisabati (kwa kutumia lugha ya kiingereza),stashahada ya ualimu elimu ya msingi mchepuo wa sayansi na hisabati kwa kutumia lugha ya kiingereza,diploma,education,Chuo cha Ualimu Mandaka,,Ministry,"Wahitimu wa Kidato cha sita wenye ufaulu wa Daraja la I-III kwa kiwango cha Principal Pass mbili (02), au walimu waliohitimu Astashahada (Cheti) ya Ualimu Elimu ya Awali au Msingi.",,no,2 years,,full-time,,,https://tcm.moe.go.tz/,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,high,2026-04-24,Science and Mathematics pathway; English medium. || Government teacher college application through ministry system tcm.moe.go.tz.
"Stashahada ya Ualimu Elimu ya Msingi mchepuo wa lugha (Kiingereza, Kifaransa na Kichina)",stashahada ya ualimu elimu ya msingi mchepuo wa lugha kiingereza kifaransa na kichina,diploma,education,Chuo cha Ualimu Marangu,,Ministry,"Wahitimu wa Kidato cha sita wenye ufaulu wa Daraja la I-III kwa kiwango cha Principal Pass mbili (02), au walimu waliohitimu Astashahada (Cheti) ya Ualimu Elimu ya Awali au Msingi.",,no,2 years,,full-time,,,https://tcm.moe.go.tz/,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,high,2026-04-24,"Language pathway including English, French and Chinese. || Government teacher college application through ministry system tcm.moe.go.tz."
Stashahada ya Ualimu Elimu ya Msingi mchepuo wa Sayansi ya Jamii (kwa kutumia lugha ya kiswahili),stashahada ya ualimu elimu ya msingi mchepuo wa sayansi ya jamii kwa kutumia lugha ya kiswahili,diploma,education,Chuo cha Ualimu Mhonda,,Ministry,"Wahitimu wa Kidato cha sita wenye ufaulu wa Daraja la I-III kwa kiwango cha Principal Pass mbili (02), au walimu waliohitimu Astashahada (Cheti) ya Ualimu Elimu ya Awali au Msingi.",,no,2 years,,full-time,,,https://tcm.moe.go.tz/,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,high,2026-04-24,Programme language medium: Kiswahili. || Government teacher college application through ministry system tcm.moe.go.tz.
"Stashahada Maalumu ya Ualimu Elimu ya Msingi katika masomo ya sayansi na hisabati (PME, PCE, PBE, CME na CBE)",stashahada maalumu ya ualimu elimu ya msingi katika masomo ya sayansi na hisabati pme pce pbe cme na cbe,diploma,education,Chuo cha Ualimu Monduli,,Ministry,"Wahitimu wa Kidato cha nne wenye ufaulu wa Daraja la I-III kwa kiwango cha alama C au zaidi katika masomo matatu; mawili kati yake yakiwa Basic Mathematics, Biology, Chemistry, Physics, Information and Computer Studies au Computer Science.",Basic Mathematics; Biology; Chemistry; Physics; Information and Computer Studies; Computer Science,yes,3 years,,full-time,,,https://tcm.moe.go.tz/,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,high,2026-04-24,Special three-year diploma for Form Four leavers. || Government teacher college application through ministry system tcm.moe.go.tz.
"Stashahada Maalumu ya Ualimu Elimu ya Msingi katika masomo ya sayansi na hisabati (PME, PCE, PBE, CBE, CME na CSME)",stashahada maalumu ya ualimu elimu ya msingi katika masomo ya sayansi na hisabati pme pce pbe cbe cme na csme,diploma,education,Chuo cha Ualimu Morogoro,,Ministry,"Wahitimu wa Kidato cha nne wenye ufaulu wa Daraja la I-III kwa kiwango cha alama C au zaidi katika masomo matatu; mawili kati yake yakiwa Basic Mathematics, Biology, Chemistry, Physics, Information and Computer Studies au Computer Science.",Basic Mathematics; Biology; Chemistry; Physics; Information and Computer Studies; Computer Science,yes,3 years,,full-time,,,https://tcm.moe.go.tz/,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,high,2026-04-24,Special three-year diploma for Form Four leavers. || Government teacher college application through ministry system tcm.moe.go.tz.
Stashahada ya Ualimu Elimu ya Msingi mchepuo wa Sayansi ya Jamii (kwa kutumia lugha ya Kiingereza),stashahada ya ualimu elimu ya msingi mchepuo wa sayansi ya jamii kwa kutumia lugha ya kiingereza,diploma,education,Chuo cha Ualimu Mpuguso,,Ministry,"Wahitimu wa Kidato cha sita wenye ufaulu wa Daraja la I-III kwa kiwango cha Principal Pass mbili (02), au walimu waliohitimu Astashahada (Cheti) ya Ualimu Elimu ya Awali au Msingi.",,no,2 years,,full-time,,,https://tcm.moe.go.tz/,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,high,2026-04-24,Programme language medium: English. || Government teacher college application through ministry system tcm.moe.go.tz.
Stashahada ya Ualimu Elimu ya Msingi mchepuo wa Sayansi ya Jamii (kwa kutumia lugha ya kiswahili),stashahada ya ualimu elimu ya msingi mchepuo wa sayansi ya jamii kwa kutumia lugha ya kiswahili,diploma,education,Chuo cha Ualimu Murutunguru,,Ministry,"Wahitimu wa Kidato cha sita wenye ufaulu wa Daraja la I-III kwa kiwango cha Principal Pass mbili (02), au walimu waliohitimu Astashahada (Cheti) ya Ualimu Elimu ya Awali au Msingi.",,no,2 years,,full-time,"13 km from Nansio town, Ukerewe",,https://tcm.moe.go.tz/,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,high,2026-04-24,Programme language medium: Kiswahili. || Government teacher college application through ministry system tcm.moe.go.tz.
Stashahada ya Ualimu Elimu ya Awali (kwa kutumia lugha ya kiingereza),stashahada ya ualimu elimu ya awali kwa kutumia lugha ya kiingereza,diploma,education,Chuo cha Ualimu Nachingwea,,Ministry,"Wahitimu wa Kidato cha sita wenye ufaulu wa Daraja la I-III kwa kiwango cha Principal Pass mbili (02), au walimu waliohitimu Astashahada (Cheti) ya Ualimu Elimu ya Awali au Msingi.",Economics; Commerce; Book Keeping,no,2 years,,full-time,,,https://tcm.moe.go.tz/,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,high,2026-04-24,"Early childhood pathway; English medium. Applicants with Economics, Commerce and Book Keeping are specifically advised to choose early childhood diploma. || Government teacher college application through ministry system tcm.moe.go.tz."
Stashahada ya Ualimu Elimu ya Msingi mchepuo wa Sayansi na Hisabati (kwa kutumia lugha ya kiingereza),stashahada ya ualimu elimu ya msingi mchepuo wa sayansi na hisabati kwa kutumia lugha ya kiingereza,diploma,education,Chuo cha Ualimu Ndala,,Ministry,"Wahitimu wa Kidato cha sita wenye ufaulu wa Daraja la I-III kwa kiwango cha Principal Pass mbili (02), au walimu waliohitimu Astashahada (Cheti) ya Ualimu Elimu ya Awali au Msingi.",,no,2 years,,full-time,,,https://tcm.moe.go.tz/,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,high,2026-04-24,Science and Mathematics pathway; English medium. || Government teacher college application through ministry system tcm.moe.go.tz.
Stashahada ya Ualimu Elimu Maalumu (kwa kutumia lugha ya Kiswahili na Kiingereza),stashahada ya ualimu elimu maalumu kwa kutumia lugha ya kiswahili na kiingereza,diploma,education,Chuo cha Ualimu Patandi,,Ministry,"Wahitimu wa Kidato cha sita wenye ufaulu wa Daraja la I-III kwa kiwango cha Principal Pass mbili (02), au walimu waliohitimu Astashahada (Cheti) ya Ualimu Elimu ya Awali au Msingi.",,no,2 years,,full-time,,,https://tcm.moe.go.tz/,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,high,2026-04-24,Special education pathway; Kiswahili and English medium. || Government teacher college application through ministry system tcm.moe.go.tz.
