programme_name,normalized_programme_name,award_level,field_category,institution_name,institution_registration_number,regulator,minimum_entry_requirements,required_subjects,suitable_for_form_four_leaver,duration,fees_if_available,study_mode,campus_location,accreditation_status_if_available,application_link,official_source_url,source_type,confidence_level,last_verified_date,notes
Diploma in Community Development,diploma community development,unknown,community development,ABDULRAHMAN AL- SUMAIT UNIVERSITY,U/TLF/11,NACTVET,"Holders of Basic Technician Certificate (NTA Level 4 ) in Community Development, Social Work, Gender, Youth Work OR Advanced Certificate of Secondary Education Examination (ACSEE) with at least one Principal pass and one Subsidiary in Principal subjects. (Duration: 2 year(s); Capacity: 200; Fees: Local Fee: TSH. 1,321,000/=)",,yes,2,"Local Fee: TSH. 1,321,000/=",unknown,Magharibi District - Zanzibar Urban/West,,,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,regulator,high,2026-04-24,Admission capacity: 200
Diploma in Diagnostic Radiography,diploma diagnostic radiography,unknown,other,ABDULRAHMAN AL- SUMAIT UNIVERSITY,U/TLF/11,NACTVET,"Holders of Certificate in Diagnostic Radiology with passes in science subjects including passes in Biology, Chemistry and Physics in Certificate of Secondary Education Examination (CSEE) (Duration: 2 year(s); Capacity: 120; Fees: Local Fee: TSH. 1,650,000/=)",Biology; Chemistry; Physics,yes,2,"Local Fee: TSH. 1,650,000/=",unknown,Magharibi District - Zanzibar Urban/West,,,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,regulator,high,2026-04-24,Admission capacity: 120
Diploma in Entrepreneurship Development,diploma entrepreneurship development,unknown,business,ABDULRAHMAN AL- SUMAIT UNIVERSITY,U/TLF/11,NACTVET,"Holders of Basic Technician Certificate (NTA Level 4) in Entrepreneurship Development OR Advanced Certificate of Secondary Education Examination (ACSEE) with at least one Principal pass and one Subsidiary in Principal subjects. (Duration: 2 year(s); Capacity: 200; Fees: Local Fee: TSH. 1,321,000/=)",,yes,2,"Local Fee: TSH. 1,321,000/=",unknown,Magharibi District - Zanzibar Urban/West,,,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,regulator,high,2026-04-24,Admission capacity: 200
Diploma in Human Resources Management,diploma human resources management,unknown,business,ABDULRAHMAN AL- SUMAIT UNIVERSITY,U/TLF/11,NACTVET,"Holders of Basic Technician certificate (NTA Level 4) in Human Resource, Local Government Administration, Social work, Community Development, Business Management OR Advanced Certificate of Secondary Education Examination (ACSEE) with at least one Principal pass and one Subsidiary in Principal subjects. (Duration: 2 year(s); Capacity: 200; Fees: Local Fee: TSH. 1,321,000/=)",,yes,2,"Local Fee: TSH. 1,321,000/=",unknown,Magharibi District - Zanzibar Urban/West,,,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,regulator,high,2026-04-24,Admission capacity: 200
Diploma in Information Communication Technology,diploma information communication technology,unknown,other,ABDULRAHMAN AL- SUMAIT UNIVERSITY,U/TLF/11,NACTVET,"Holders of Basic Technician Certificate (NTA Level 4) in Computing and Information Technology OR Advanced Certificate of Secondary Education (ACSEE) with at least one Principal pass and one Subsidiary in Principal subjects (Duration: 2 year(s); Capacity: 200; Fees: Local Fee: TSH. 1,321,000/=)",,yes,2,"Local Fee: TSH. 1,321,000/=",unknown,Magharibi District - Zanzibar Urban/West,,,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,regulator,high,2026-04-24,Admission capacity: 200
Diploma in Law,diploma law,unknown,law,ABDULRAHMAN AL- SUMAIT UNIVERSITY,U/TLF/11,NACTVET,"Holders of advanced certificate of secondary (Duration: 2 year(s); Capacity: 200; Fees: Local Fee: TSH. 1,321,000/=)",,unknown,2,"Local Fee: TSH. 1,321,000/=",unknown,Magharibi District - Zanzibar Urban/West,,,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,regulator,high,2026-04-24,Admission capacity: 200
"Diploma in Library Studies, Records Management with Ict",diploma library studies records management with ict,unknown,ICT,ABDULRAHMAN AL- SUMAIT UNIVERSITY,U/TLF/11,NACTVET,"Holders of Basic Technician Certificate (NTA Level 4) in Records Management, Medical Records, Library and information studies OR Advanced Certificate of Secondary Education Examination (ACSEE) with at least one Principal pass and one Subsidiary in Principal subjects (Duration: 2 year(s); Capacity: 200; Fees: Local Fee: TSH. 1,321,000/=)",,yes,2,"Local Fee: TSH. 1,321,000/=",unknown,Magharibi District - Zanzibar Urban/West,,,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,regulator,high,2026-04-24,Admission capacity: 200
Diploma in Marketing Management,diploma marketing management,unknown,business,ABDULRAHMAN AL- SUMAIT UNIVERSITY,U/TLF/11,NACTVET,"Holders of Basic Technician Certificate (NTA Level 4) in Marketing, Public Relation, Business Administration, Accounting and Finance Economics OR Advanced Certificate of Secondary Education Examination (ACSEE) with at least one Principal pass and one Subsidiary in Principal subjects. (Duration: 2 year(s); Capacity: 200; Fees: Local Fee: TSH. 1,321,000/=)",Economics,yes,2,"Local Fee: TSH. 1,321,000/=",unknown,Magharibi District - Zanzibar Urban/West,,,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,regulator,high,2026-04-24,Admission capacity: 200
Diploma in Procurement and Supply Chain Management,diploma procurement supply chain management,unknown,business,ABDULRAHMAN AL- SUMAIT UNIVERSITY,U/TLF/11,NACTVET,"Holders of Basic Technician Certificate (NTA Level 4) in Procurement and Supply, Logistics, Clearing and Forwarding, Purchasing and Inventory OR Advanced Certificate of Secondary Education Examination (ACSEE) with at least one Principal pass and one Subsidiary in Principal subjects. (Duration: 2 year(s); Capacity: 200; Fees: Local Fee: TSH. 1,321,000/=) || CATHOLIC UNIVERSITY OF HEALTH AND ALLIED SCIENCES (CUHAS) Nyamagana Municipal Council - Mwanza (Duration: (CU) - FBO year(s))",,yes,2; (CU) - FBO,"Local Fee: TSH. 1,321,000/=",unknown,Magharibi District - Zanzibar Urban/West,,,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,regulator,high,2026-04-24,Admission capacity: 200
Ordinary Diploma in Clinical Medicine,ordinary diploma clinical medicine,ordinary diploma,health,ACCRA COLLEGE OF HEALTH AND ALLIED SCIENCES,REG/HAS/243,NACTVET,"Holders of Certificate of Secondary Education Examination (CSEE) with At Least four (4) Passes in non-religious Subjects including Chemistry, Biology and Physics/Engineering Sciences. A Pass in Basic Mathematics and English Language Is An Added Advantage. (Duration: 3 year(s); Capacity: 100; Fees: Local Fee: TSH. 1,550,000/=)",Basic Mathematics; Biology; Chemistry; Physics; Engineering Sciences; English Language,yes,3,"Local Fee: TSH. 1,550,000/=",unknown,Tanga City Council - Tanga,,,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Admission capacity: 100
Ordinary Diploma in Commercial Insurance,ordinary diploma commercial insurance,ordinary diploma,other,AFRICA COLLEGE OF INSURANCE AND SOCIAL PROTECTION,REG/NACTVET/1157,NACTVET,"Holders of Certificate of Secondary Education Examination (CSEE) with at least four (4) passes in non-religious subjects. (Duration: 3 year(s); Capacity: 100; Fees: Local Fee: TSH. 5,000,000/=) || Holders of Basic Technician Certificate (NTA Level 4) in Commercial Insurance (Duration: 2 year(s); Capacity: 100)",,yes,3; 2,"Local Fee: TSH. 5,000,000/=",unknown,Kinondoni Municipal Council - Dar es Salaam,,,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Admission capacity: 100
Ordinary Diploma in Educational Leadership Management and Administration,ordinary diploma educational leadership management administration,ordinary diploma,business,AGENCY FOR DEVELOPMENT OF EDUCATIONAL MANAGEMENT - MWANZA,REG/PWF/037,NACTVET,"Holders of Basic Technician Certificate (NTA Level 4) in Educational Leadership, Management and Administration, Muka, Grade Iiia Teachers Certificate Education, Diploma in Teachers Education and Bachelor Degree in Education with At Least three Years of Working Experience (Duration: 2 year(s); Capacity: 400; Fees: Local Fee: TSH. 850,000/=)",,unknown,2,"Local Fee: TSH. 850,000/=",unknown,Ilemela Municipal Council - Mwanza,,,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Admission capacity: 400
Ordinary Diploma in School Quality Assurance,ordinary diploma quality assurance,ordinary diploma,business,AGENCY FOR DEVELOPMENT OF EDUCATIONAL MANAGEMENT - MWANZA,REG/PWF/037,NACTVET,"Holders of Basic Technician Certificate (NTA Level 4) in Education Management and Administration, Muka, Grade Iiia Teachers Certificate Education, Diploma in Teachers Education and Bachelor Degree in Education with At Least three Years of Working Experience (Duration: 2 year(s); Capacity: 100; Fees: Local Fee: TSH. 850,000/=)",,unknown,2,"Local Fee: TSH. 850,000/=",unknown,Ilemela Municipal Council - Mwanza,,,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Admission capacity: 100
Ordinary Diploma in Educational Leadership Management and Administration,ordinary diploma educational leadership management administration,ordinary diploma,business,AGENCY FOR THE DEVELOPMENT OF EDUCATIONAL MANAGEMENT - BAGAMOYO,REG/PWF/020,NACTVET,"Holders of Teachers Certificate of Education, Diploma in Teacher Education and Bachelor Degree in Education with at least three years working experience (Duration: 3 year(s); Capacity: 400; Fees: Local Fee: TSH. 850,000/=) || Holders of Basic Technician Certificate (NTA Level 4) in Educational Leadership, Management and Administration, MUKA, Grade IIIA Teachers Certificate Education, Diploma in Teachers Education and Bachelor Degree in Education with at least three years of working experience (Duration: 2 year(s); Capacity: 400)",,unknown,3; 2,"Local Fee: TSH. 850,000/=",unknown,Bagamoyo District Council - Pwani,,,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Admission capacity: 400
Ordinary Diploma in School Quality Assurance,ordinary diploma quality assurance,ordinary diploma,business,AGENCY FOR THE DEVELOPMENT OF EDUCATIONAL MANAGEMENT - BAGAMOYO,REG/PWF/020,NACTVET,"Holders of Basic Technician Certificate (NTA Level 4) in Education Management and Administration, MUKA, Grade IIIA Teachers Certificate Education, Diploma in Teachers Education and Bachelor Degree in Education with at least three years of working experience (Duration: 2 year(s); Capacity: 400; Fees: Local Fee: TSH. 850,000/=)",,unknown,2,"Local Fee: TSH. 850,000/=",unknown,Bagamoyo District Council - Pwani,,,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Admission capacity: 400
Ordinary Diploma in Accountancy,ordinary diploma accountancy,ordinary diploma,accounting,AL-HARAMAIN PROFESSIONAL COLLEGE,REG/BTP/143P,NACTVET,"Holders of Certificate of Secondary Education Examination (CSEE) with at least four (4) passes in non-religious subjects (Duration: 3 year(s); Capacity: 30; Fees: Local Fee: TSH. 900,000/=) || Holders of Basic Technician Certificate (NTA Level 4) in Accountancy Finance and Banking OR Advanced Certificate of Secondary Education Examination (ACSEE) with at least one Principal pass and one Subsidiary in Principal subjects (Duration: 2 year(s); Capacity: 40)",Accountancy,yes,3; 2,"Local Fee: TSH. 900,000/=",unknown,Ilala Municipal Council - Dar es Salaam,,,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Admission capacity: 30; 40
Ordinary Diploma in Journalism,ordinary diploma journalism,ordinary diploma,media,AL-HARAMAIN PROFESSIONAL COLLEGE,REG/BTP/143P,NACTVET,"Holders of Certificate of Secondary Education Examination (CSEE) with at least four (4) passes in non-religious subjects OR National Vocational Award (NVA) Level III with at least two passes in Certificate of Secondary Education Examination (CSEE) (Duration: 3 year(s); Capacity: 40; Fees: Local Fee: TSH. 900,000/=) || Holders of Basic Technician Certificate (NTA Level 4) In Journalism Mass Communication, TV Production, Media Production OR Advanced Certificate of Secondary Education Examination (ACSEE) with at least one Principal pass and one Subsidiary in Principal subjects (Duration: 2 year(s); Capacity: 40)",,yes,3; 2,"Local Fee: TSH. 900,000/=",unknown,Ilala Municipal Council - Dar es Salaam,,,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Admission capacity: 40
