institution_name,normalized_institution_name,abbreviation_or_aliases,registration_number,regulator,accreditation_status,ownership_type,institution_type,region,district_or_council,campus_name,physical_location,mainland_or_zanzibar,website,admissions_url,application_url,phone_numbers,email,logo_url,logo_source_url,logo_status,official_source_url,source_type,confidence_level,last_verified_date,notes,needs_review,review_reasons
ABDULRAHMAN AL- SUMAIT UNIVERSITY,abdulrahman al sumait,,U/TLF/11,NACTVET,listed in NACTVET 2025/2026 admission guidebook,Private,University offering NTA programmes,Zanzibar Urban/West,Magharibi District,,,Zanzibar,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,NACTVET admission guidebook 2025/2026 - universities offering certificate/diploma programmes,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
INSTITUTE OF ACCOUNTANCY ARUSHA (IAA) - ARUSHA,accountancy arusha iaa arusha,IAA,REG/BMG/002,NACTVET,listed in NACTVET 2025/2026 admission guidebook,Government,Technical Institution,Arusha,Arusha District Council,,,Mainland,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
INSTITUTE OF ACCOUNTANCY ARUSHA (IAA) - BABATI CAMPUS,accountancy arusha iaa babati campus,IAA,REG/BTP/021,NACTVET,listed in NACTVET 2025/2026 admission guidebook,Government,Technical Institution,Manyara,Babati Town Counci,,,Mainland,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
INSTITUTE OF ACCOUNTANCY ARUSHA (IAA) - DAR ES SALAAM CAMPUS,accountancy arusha iaa dar es salaam campus,IAA,REG/BTP/022,NACTVET,listed in NACTVET 2025/2026 admission guidebook,Government,Technical Institution,Dar es Salaam,Kinondoni Municipal Council,,,Mainland,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
INSTITUTE OF ACCOUNTANCY ARUSHA (IAA) - DODOMA CAMPUS,accountancy arusha iaa dodoma campus,IAA,REG/BTP/136,NACTVET,listed in NACTVET 2025/2026 admission guidebook,Government,Technical Institution,Dodoma,Dodoma Municipal Council,,,Mainland,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
INSTITUTE OF ACCOUNTANCY ARUSHA (IAA) - SONGEA CAMPUS,accountancy arusha iaa songea campus,IAA,REG/BTP/171,NACTVET,listed in NACTVET 2025/2026 admission guidebook,Government,Technical Institution,Ruvuma,Songea Municipal Council,,,Mainland,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
ACCRA COLLEGE OF HEALTH AND ALLIED SCIENCES,accra health allied sciences,,REG/HAS/243,NACTVET,listed in NACTVET 2025/2026 admission guidebook,Private,Technical Institution,Tanga,Tanga City Council,,,Mainland,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
INSTITUTE OF ADULT EDUCATION - DAR-ES-SALAAM,adult education dar es salaam,,REG/PWF/018,NACTVET,listed in NACTVET 2025/2026 admission guidebook,Government,Technical Institution,Dar es Salaam,Ilala Municipal Council,,,Mainland,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
INSTITUTE OF ADULT EDUCATION - MOROGORO,adult education morogoro,,REG/TLF/0140,NACTVET,listed in NACTVET 2025/2026 admission guidebook,Government,Technical Institution,Morogoro,Morogoro Municipal Council,,,Mainland,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
INSTITUTE OF ADULT EDUCATION - MWANZA,adult education mwanza,,REG/TLF/142,NACTVET,listed in NACTVET 2025/2026 admission guidebook,Government,Technical Institution,Mwanza,Nyamagana Municipal Council,,,Mainland,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
INSTITUTE OF ADULT EDUCATION - SONGEA,adult education songea,,REG/BTP/156P,NACTVET,listed in NACTVET 2025/2026 admission guidebook,Government,Technical Institution,Ruvuma,Songea Municipal Council,,,Mainland,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
AFRICA COLLEGE OF INSURANCE AND SOCIAL PROTECTION,africa insurance social protection,,REG/NACTVET/1157,NACTVET,listed in NACTVET 2025/2026 admission guidebook,Private,Technical Institution,Dar es Salaam,Kinondoni Municipal Council,,,Mainland,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
"COLLEGE OF AFRICAN WILDLIFE MANAGEMENT, MWEKA - MOSHI",african wildlife management mweka moshi,,REG/ANE/006,NACTVET,listed in NACTVET 2025/2026 admission guidebook,Government,Technical Institution,Kilimanjaro,Moshi District Council,,,Mainland,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
AGENCY FOR THE DEVELOPMENT OF EDUCATIONAL MANAGEMENT - BAGAMOYO,agency development educational management bagamoyo,,REG/PWF/020,NACTVET,listed in NACTVET 2025/2026 admission guidebook,Government,Technical Institution,Pwani,Bagamoyo District Council,,,Mainland,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
AGENCY FOR THE DEVELOPMENT OF EDUCATIONAL MANAGEMENT - MBEYA,agency development educational management mbeya,,REG/TLF/143,NACTVET,listed in NACTVET 2025/2026 admission guidebook,Government,Technical Institution,Mbeya,Mbeya City Council,,,Mainland,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
AGENCY FOR DEVELOPMENT OF EDUCATIONAL MANAGEMENT - MWANZA,agency development educational management mwanza,,REG/PWF/037,NACTVET,listed in NACTVET 2025/2026 admission guidebook,Government,Technical Institution,Mwanza,Ilemela Municipal Council,,,Mainland,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
COLLEGE OF AGRICULTURE AND NATURAL RESOURCES,agriculture natural resources,,REG/ANE/024,NACTVET,listed in NACTVET 2025/2026 admission guidebook,Private,Technical Institution,Dar es Salaam,Ilala Municipal Council,,,Mainland,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
AL-HARAMAIN PROFESSIONAL COLLEGE,al haramain professional,,REG/BTP/143P,NACTVET,listed in NACTVET 2025/2026 admission guidebook,Private,Technical Institution,Dar es Salaam,Ilala Municipal Council,,,Mainland,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
AL-MAKTOUM COLLEGE OF ENGINEERING AND TECHNOLOGY,al maktoum engineering technology,,REG/EOS/039,NACTVET,listed in NACTVET 2025/2026 admission guidebook,Private,Technical Institution,Dar es Salaam,Kinondoni Municipal Council,,,Mainland,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
AMANI COLLEGE OF MANAGEMENT AND TECHNOLOGY (ACMT) - NJOMBE,amani management technology acmt njombe,ACMT,REG/BTP/020,NACTVET,listed in NACTVET 2025/2026 admission guidebook,Private,Technical Institution,Njombe,Njombe District Council,,,Mainland,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
AMANI INSTITUTE OF SIGN LANGUAGE AND INTERPRETATION,amani sign language interpretation,,REG/BTP/210P,NACTVET,listed in NACTVET 2025/2026 admission guidebook,Private,Technical Institution,Mbeya,Mbeya City Council,,,Mainland,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
AMENYE HEALTH TRAINING INSTITUTE,amenye health training,,REG/HAS/134,NACTVET,listed in NACTVET 2025/2026 admission guidebook,Private,Technical Institution,Mbeya,Mbeya City Council,,,Mainland,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
APPLE VALLEY INSTITUTE OF HEALTH SCIENCES AND TECHNOLOGY,apple valley health sciences technology,,REG/HAS/188P,NACTVET,listed in NACTVET 2025/2026 admission guidebook,Private,Technical Institution,Dar es Salaam,Kigamboni Municipal Council,,,Mainland,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
ARDHI INSTITUTE MOROGORO,ardhi morogoro,,REG/EOS/008,NACTVET,listed in NACTVET 2025/2026 admission guidebook,Government,Technical Institution,Morogoro,Morogoro Municipal Council,,,Mainland,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
ARDHI INSTITUTE - TABORA,ardhi tabora,,REG/EOS/010,NACTVET,listed in NACTVET 2025/2026 admission guidebook,Government,Technical Institution,Tabora,Tabora Municipal Council,,,Mainland,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
ARUSHA COLLEGE OF ADMINISTRATION,arusha administration,,REG/BTP/162,NACTVET,listed in NACTVET 2025/2026 admission guidebook,Private,Technical Institution,Arusha,Monduli District Council,,,Mainland,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
ARUSHA ADVENTIST COLLEGE,arusha adventist,,REG/BTP/161,NACTVET,listed in NACTVET 2025/2026 admission guidebook,FBO,Technical Institution,Arusha,Arusha City Council,,,Mainland,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
UNIVERSITY OF ARUSHA - ARUSHA,arusha arusha,,UA,NACTVET,listed in NACTVET 2025/2026 admission guidebook,Private,University offering NTA programmes,Arusha,Arusha City Council,,,Mainland,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,NACTVET admission guidebook 2025/2026 - universities offering certificate/diploma programmes,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
ARUSHA INSTITUTE OF BUSINESS STUDIES,arusha business studies,,REG/BTP/047,NACTVET,listed in NACTVET 2025/2026 admission guidebook,Private,Technical Institution,Arusha,Arusha City Council,,,Mainland,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
THE ARUSHA EAST AFRICAN TRAINING INSTITUTE - ARUSHA,arusha east african training arusha,,REG/BTP/006,NACTVET,listed in NACTVET 2025/2026 admission guidebook,Private,Technical Institution,Arusha,Arusha City Council,,,Mainland,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
ARUSHA LUTHERAN MEDICAL TRAINING CENTRE,arusha lutheran medical training,,REG/HAS/115,NACTVET,listed in NACTVET 2025/2026 admission guidebook,Private,Technical Institution,Arusha,Arusha District Council,,,Mainland,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
ARUSHA TECHNICAL COLLEGE - ARUSHA,arusha technical arusha,,REG/EOS/004,NACTVET,listed in NACTVET 2025/2026 admission guidebook,Government,Technical Institution,Arusha,Arusha City Council,,,Mainland,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
BAGAMOYO PROFESSIONAL COLLEGE,bagamoyo professional,,REG/BTP/142P,NACTVET,listed in NACTVET 2025/2026 admission guidebook,Private,Technical Institution,Pwani,Bagamoyo District Council,,,Mainland,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
BAGAMOYO SCHOOL OF NURSING,bagamoyo school nursing,,REG/HAS/078,NACTVET,listed in NACTVET 2025/2026 admission guidebook,Government,Technical Institution,Pwani,Bagamoyo District Council,,,Mainland,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
BANDARI COLLEGE DAR-ES-SALAAM,bandari dar es salaam,,REG/EOS/018,NACTVET,listed in NACTVET 2025/2026 admission guidebook,Government,Technical Institution,Dar es Salaam,Temeke Municipal Council,,,Mainland,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
BANK OF TANZANIA ACADEMY,bank tanzania academy,,REG/BTP/116,NACTVET,listed in NACTVET 2025/2026 admission guidebook,Government,Technical Institution,Mwanza,Nyamagana Municipal Council,,,Mainland,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
BECUS HEALTH TRAINING CENTRE,becus health training,,REG/HAS/203,NACTVET,listed in NACTVET 2025/2026 admission guidebook,Private,Technical Institution,Iringa,Mafinga Town Counci,,,Mainland,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
BEEKEEPING TRAINING INSTITUTE - TABORA,beekeeping training tabora,,REG/ANE/035,NACTVET,listed in NACTVET 2025/2026 admission guidebook,Government,Technical Institution,Tabora,Tabora Municipal Council,,,Mainland,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
BENJAMIN MKAPA INSTITUTE OF HEALTH AND ALLIED SCIENCES,benjamin mkapa health allied sciences,,REG/HAS/241,NACTVET,listed in NACTVET 2025/2026 admission guidebook,Government,Technical Institution,Dodoma,Dodoma Municipal Council,,,Mainland,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
BEREGA INSTITUTE OF HEALTH SCIENCES,berega health sciences,,REG/HAS/108,NACTVET,listed in NACTVET 2025/2026 admission guidebook,FBO,Technical Institution,Morogoro,Kilosa District Council,,,Mainland,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
BESHA HEALTH TRAINING INSTITUTE,besha health training,,REG/HAS/118,NACTVET,listed in NACTVET 2025/2026 admission guidebook,Private,Technical Institution,Tanga,Tanga City Council,,,Mainland,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
BESTWAY INSTITUTE OF BUSINESS,bestway business,,REG/BTP/129P,NACTVET,listed in NACTVET 2025/2026 admission guidebook,Private,Technical Institution,Dar es Salaam,Kinondoni Municipal Council,,,Mainland,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
BIHARAMULO COLLEGE OF BUSINESS AND TECHNOLOGY,biharamulo business technology,,REG/BTP/121,NACTVET,listed in NACTVET 2025/2026 admission guidebook,Private,Technical Institution,Kagera,Biharamulo District Council,,,Mainland,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
BIHARAMULO HEALTH SCIENCES TRAINING COLLEGE,biharamulo health sciences training,,REG/HAS/121,NACTVET,listed in NACTVET 2025/2026 admission guidebook,FBO,Technical Institution,Kagera,Biharamulo District Council,,,Mainland,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
BISHOP KISULA COLLEGE OF HEALTH AND ALLIED SCIENCES,bishop kisula health allied sciences,,REG/HAS/132,NACTVET,listed in NACTVET 2025/2026 admission guidebook,FBO,Technical Institution,Simiyu,Busega District Council,,,Mainland,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
BISHOP NICODEMUS HHANDO COLLEGE OF HEALTH SCIENCES,bishop nicodemus hhando health sciences,,REG/HAS/149,NACTVET,listed in NACTVET 2025/2026 admission guidebook,FBO,Technical Institution,Manyara,Babati District Council,,,Mainland,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
BLUE PHARMA COLLEGE OF HEALTH,blue pharma health,,REG/HAS/187,NACTVET,listed in NACTVET 2025/2026 admission guidebook,Private,Technical Institution,Singida,Singida District Council,,,Mainland,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
BORIGARAM AGRICULTURE TECHNICAL COLLEGE (FRIENDS ON THE PATH),borigaram agriculture technical friends on path,,REG/SAT/028,NACTVET,listed in NACTVET 2025/2026 admission guidebook,FBO,Technical Institution,Dar es Salaam,Temeke Municipal Council,,,Mainland,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
BUHARE COMMUNITY DEVELOPMENT TRAINING INSTITUTE- MUSOMA,buhare community development training musoma,,REG/PWF/011,NACTVET,listed in NACTVET 2025/2026 admission guidebook,Government,Technical Institution,Mara,Musoma Municipal Council,,,Mainland,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
BUHEMBA COMMUNITY DEVELOPMENT TRAINING INSTITUTE (BUHEMBA CDTI) - BUTIAMA,buhemba community development training buhemba cdti butiama,,REG/PWF/049,NACTVET,listed in NACTVET 2025/2026 admission guidebook,Private,Technical Institution,Mara,Butiama District Council,,,Mainland,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
BUHONGWA COLLEGE OF HEALTH AND ALLIED SCIENCES,buhongwa health allied sciences,,REG/HAS/208,NACTVET,listed in NACTVET 2025/2026 admission guidebook,Private,Technical Institution,Mwanza,Nyamagana Municipal Council,,,Mainland,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
BUHONGWA COLLEGE OF HEALTH AND ALLIED SCIENCES - USAGARA,buhongwa health allied sciences usagara,,REG/HAS/263,NACTVET,listed in NACTVET 2025/2026 admission guidebook,Private,Technical Institution,Mwanza,Nyamagana Municipal Council,,,Mainland,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
BUKUMBI INSTITUTE OF HEALTH AND ALLIED SCIENCES,bukumbi health allied sciences,,REG/HAS/019N,NACTVET,listed in NACTVET 2025/2026 admission guidebook,FBO,Technical Institution,Mwanza,Misungwi District Council,,,Mainland,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
BULONGWA HEALTH SCIENCES INSTITUTE,bulongwa health sciences,,REG/HAS/053,NACTVET,listed in NACTVET 2025/2026 admission guidebook,FBO,Technical Institution,Njombe,Makete District Council,,,Mainland,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
BUMBULI COLLEGE OF HEALTH AND ALLIED SCIENCES,bumbuli health allied sciences,,REG/HAS/073,NACTVET,listed in NACTVET 2025/2026 admission guidebook,FBO,Technical Institution,Tanga,Lushoto District Council,,,Mainland,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
COLLEGE OF BUSINESS EDUCATION - DAR ES SALAAM,business education dar es salaam,,REG/BMG/005,NACTVET,listed in NACTVET 2025/2026 admission guidebook,Government,Technical Institution,Dar es Salaam,Ilala Municipal Council,,,Mainland,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
COLLEGE OF BUSINESS EDUCATION - DODOMA,business education dodoma,,REG/BMG/006,NACTVET,listed in NACTVET 2025/2026 admission guidebook,Government,Technical Institution,Dodoma,Dodoma Municipal Council,,,Mainland,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
