programme_name,normalized_programme_name,programme_code,award_level,qualification_level,pathway_type,field_category,course_family,institution_name,normalized_institution_name,campus_name,regulator,institution_type,ownership_type,region,district_or_council,duration,study_mode,admission_capacity,fees_if_available,fee_band,application_method,official_source_url,source_type,confidence_level,last_verified_date,notes,needs_review,review_reasons
Ordinary Diploma in Arts with Education,ordinary diploma in arts with education,,Ordinary Diploma,NTA Level 6,diploma,Education,Education,ABDULRAHMAN AL- SUMAIT UNIVERSITY,abdulrahman al sumait,,NACTVET,University offering NTA programmes,Private,Zanzibar Urban/West,Magharibi District,2,,100,"Local Fee: TSH. 750,000/= , Foreigner Fee: USD 312/=",500k-999k TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,NACTVET admission guidebook 2025/2026 - universities offering certificate/diploma programmes,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Business Information Technology,ordinary diploma in business information technology,,Ordinary Diploma,NTA Level 6,diploma,ICT & Computing,Business & Management,ABDULRAHMAN AL- SUMAIT UNIVERSITY,abdulrahman al sumait,,NACTVET,University offering NTA programmes,Private,Zanzibar Urban/West,Magharibi District,3; 2,,100,"Local Fee: TSH. 750,000/=",500k-999k TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,NACTVET admission guidebook 2025/2026 - universities offering certificate/diploma programmes,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Computing and Information Technology,ordinary diploma in computing and information technology,,Ordinary Diploma,NTA Level 6,diploma,ICT & Computing,ICT,ABDULRAHMAN AL- SUMAIT UNIVERSITY,abdulrahman al sumait,,NACTVET,University offering NTA programmes,Private,Zanzibar Urban/West,Magharibi District,3; 2,,200,"Local Fee: TSH. 750,000/= , Foreigner Fee: USD 312/=",500k-999k TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,NACTVET admission guidebook 2025/2026 - universities offering certificate/diploma programmes,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Counselling and Psychology,ordinary diploma in counselling and psychology,,Ordinary Diploma,NTA Level 6,diploma,Social Sciences & Community Development,Social Work & Community Development,ABDULRAHMAN AL- SUMAIT UNIVERSITY,abdulrahman al sumait,,NACTVET,University offering NTA programmes,Private,Zanzibar Urban/West,Magharibi District,3; 2,,100,"Local Fee: TSH. 750,000/=",500k-999k TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,NACTVET admission guidebook 2025/2026 - universities offering certificate/diploma programmes,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Office Administration,ordinary diploma in office administration,,Ordinary Diploma,NTA Level 6,diploma,"Business, Finance & Management",Business & Management,ABDULRAHMAN AL- SUMAIT UNIVERSITY,abdulrahman al sumait,,NACTVET,University offering NTA programmes,Private,Zanzibar Urban/West,Magharibi District,3; 2,,100,"Local Fee: TSH. 750,000/=",500k-999k TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,NACTVET admission guidebook 2025/2026 - universities offering certificate/diploma programmes,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Science with Education,ordinary diploma in science with education,,Ordinary Diploma,NTA Level 6,diploma,Education,Education,ABDULRAHMAN AL- SUMAIT UNIVERSITY,abdulrahman al sumait,,NACTVET,University offering NTA programmes,Private,Zanzibar Urban/West,Magharibi District,2,,200,"Local Fee: TSH. 1,100,000/= , Foreigner Fee: USD 458/=",1.0m-1.49m TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,NACTVET admission guidebook 2025/2026 - universities offering certificate/diploma programmes,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Accountancy,ordinary diploma in accountancy,,Ordinary Diploma,NTA Level 6,diploma,"Business, Finance & Management",Accounting & Finance,INSTITUTE OF ACCOUNTANCY ARUSHA (IAA) - ARUSHA,accountancy arusha iaa arusha,,NACTVET,Technical Institution,Government,Arusha,Arusha District Council,3; 2,,800; 400,"Local Fee: TSH. 900,000/=",500k-999k TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Accountancy with Information Technology,ordinary diploma in accountancy with information technology,,Ordinary Diploma,NTA Level 6,diploma,ICT & Computing,Accounting & Finance,INSTITUTE OF ACCOUNTANCY ARUSHA (IAA) - ARUSHA,accountancy arusha iaa arusha,,NACTVET,Technical Institution,Government,Arusha,Arusha District Council,3; 2,,200,"Local Fee: TSH. 900,000/=",500k-999k TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Business Management,ordinary diploma in business management,,Ordinary Diploma,NTA Level 6,diploma,"Business, Finance & Management",Business & Management,INSTITUTE OF ACCOUNTANCY ARUSHA (IAA) - ARUSHA,accountancy arusha iaa arusha,,NACTVET,Technical Institution,Government,Arusha,Arusha District Council,3; 2,,500; 240,"Local Fee: TSH. 900,000/=",500k-999k TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Business Management with Chinese Language,ordinary diploma in business management with chinese language,,Ordinary Diploma,NTA Level 6,diploma,"Business, Finance & Management",Business & Management,INSTITUTE OF ACCOUNTANCY ARUSHA (IAA) - ARUSHA,accountancy arusha iaa arusha,,NACTVET,Technical Institution,Government,Arusha,Arusha District Council,3; 2,,500,"Local Fee: TSH. 900,000/= , Foreigner Fee: USD 450/=",500k-999k TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Computer Networking,ordinary diploma in computer networking,,Ordinary Diploma,NTA Level 6,diploma,ICT & Computing,ICT,INSTITUTE OF ACCOUNTANCY ARUSHA (IAA) - ARUSHA,accountancy arusha iaa arusha,,NACTVET,Technical Institution,Government,Arusha,Arusha District Council,3; 2,,200,"Local Fee: TSH. 900,000/=",500k-999k TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Computer Science,ordinary diploma in computer science,,Ordinary Diploma,NTA Level 6,diploma,ICT & Computing,ICT,INSTITUTE OF ACCOUNTANCY ARUSHA (IAA) - ARUSHA,accountancy arusha iaa arusha,,NACTVET,Technical Institution,Government,Arusha,Arusha District Council,2,,300,"Local Fee: TSH. 900,000/=",500k-999k TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Computing and Information Technology,ordinary diploma in computing and information technology,,Ordinary Diploma,NTA Level 6,diploma,ICT & Computing,ICT,INSTITUTE OF ACCOUNTANCY ARUSHA (IAA) - ARUSHA,accountancy arusha iaa arusha,,NACTVET,Technical Institution,Government,Arusha,Arusha District Council,3; 2,,450; 350,"Local Fee: TSH. 900,000/=",500k-999k TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Economics and Finance,ordinary diploma in economics and finance,,Ordinary Diploma,NTA Level 6,diploma,"Business, Finance & Management",Accounting & Finance,INSTITUTE OF ACCOUNTANCY ARUSHA (IAA) - ARUSHA,accountancy arusha iaa arusha,,NACTVET,Technical Institution,Government,Arusha,Arusha District Council,3; 2,,200,"Local Fee: TSH. 900,000/=",500k-999k TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Finance and Banking,ordinary diploma in finance and banking,,Ordinary Diploma,NTA Level 6,diploma,"Business, Finance & Management",Accounting & Finance,INSTITUTE OF ACCOUNTANCY ARUSHA (IAA) - ARUSHA,accountancy arusha iaa arusha,,NACTVET,Technical Institution,Government,Arusha,Arusha District Council,3; 2,,500,"Local Fee: TSH. 900,000/=",500k-999k TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Human Resources and Management,ordinary diploma in human resources and management,,Ordinary Diploma,NTA Level 6,diploma,"Business, Finance & Management",Business & Management,INSTITUTE OF ACCOUNTANCY ARUSHA (IAA) - ARUSHA,accountancy arusha iaa arusha,,NACTVET,Technical Institution,Government,Arusha,Arusha District Council,3; 2,,500; 450,"Local Fee: TSH. 900,000/= , Foreigner Fee: USD 391/=",500k-999k TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Insurance and Risk Management,ordinary diploma in insurance and risk management,,Ordinary Diploma,NTA Level 6,diploma,"Business, Finance & Management",Accounting & Finance,INSTITUTE OF ACCOUNTANCY ARUSHA (IAA) - ARUSHA,accountancy arusha iaa arusha,,NACTVET,Technical Institution,Government,Arusha,Arusha District Council,3; 2,,200; 450,"Local Fee: TSH. 900,000/=",500k-999k TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Library and Information Studies,ordinary diploma in library and information studies,,Ordinary Diploma,NTA Level 6,diploma,Other / Needs Classification,Other,INSTITUTE OF ACCOUNTANCY ARUSHA (IAA) - ARUSHA,accountancy arusha iaa arusha,,NACTVET,Technical Institution,Government,Arusha,Arusha District Council,3; 2,,200,"Local Fee: TSH. 900,000/=",500k-999k TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Marketing and Public Relations,ordinary diploma in marketing and public relations,,Ordinary Diploma,NTA Level 6,diploma,"Business, Finance & Management",Business & Management,INSTITUTE OF ACCOUNTANCY ARUSHA (IAA) - ARUSHA,accountancy arusha iaa arusha,,NACTVET,Technical Institution,Government,Arusha,Arusha District Council,3; 2,,500; 450,"Local Fee: TSH. 900,000/= , Foreigner Fee: USD 391/=",500k-999k TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Multimedia,ordinary diploma in multimedia,,Ordinary Diploma,NTA Level 6,diploma,"Arts, Media & Communication",Arts & Communication,INSTITUTE OF ACCOUNTANCY ARUSHA (IAA) - ARUSHA,accountancy arusha iaa arusha,,NACTVET,Technical Institution,Government,Arusha,Arusha District Council,3; 2,,200; 300,"Local Fee: TSH. 900,000/= , Foreigner Fee: USD 2,000/=",500k-999k TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Procurement and Logistics Management,ordinary diploma in procurement and logistics management,,Ordinary Diploma,NTA Level 6,diploma,"Business, Finance & Management",Business & Management,INSTITUTE OF ACCOUNTANCY ARUSHA (IAA) - ARUSHA,accountancy arusha iaa arusha,,NACTVET,Technical Institution,Government,Arusha,Arusha District Council,3; 2,,600; 500,"Local Fee: TSH. 900,000/=",500k-999k TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Records Archives and Information Management,ordinary diploma in records archives and information management,,Ordinary Diploma,NTA Level 6,diploma,"Business, Finance & Management",Business & Management,INSTITUTE OF ACCOUNTANCY ARUSHA (IAA) - ARUSHA,accountancy arusha iaa arusha,,NACTVET,Technical Institution,Government,Arusha,Arusha District Council,3; 2,,400; 200,"Local Fee: TSH. 910,000/=",500k-999k TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Strategic Studies,ordinary diploma in strategic studies,,Ordinary Diploma,NTA Level 6,diploma,Other / Needs Classification,Other,INSTITUTE OF ACCOUNTANCY ARUSHA (IAA) - ARUSHA,accountancy arusha iaa arusha,,NACTVET,Technical Institution,Government,Arusha,Arusha District Council,2,,100,"Local Fee: TSH. 900,000/=",500k-999k TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Technician Certificate in Mobile Applications,technician certificate in mobile applications,,Technician Certificate,NTA Level 5,certificate,Other / Needs Classification,Other,INSTITUTE OF ACCOUNTANCY ARUSHA (IAA) - ARUSHA,accountancy arusha iaa arusha,,NACTVET,Technical Institution,Government,Arusha,Arusha District Council,2,,200,"Local Fee: TSH. 900,000/= , Foreigner Fee: USD 900,000/=",500k-999k TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Accountancy,ordinary diploma in accountancy,,Ordinary Diploma,NTA Level 6,diploma,"Business, Finance & Management",Accounting & Finance,INSTITUTE OF ACCOUNTANCY ARUSHA (IAA) - BABATI CAMPUS,accountancy arusha iaa babati campus,,NACTVET,Technical Institution,Government,Manyara,Babati Town Counci,3; 2,,130,"Local Fee: TSH. 900,000/=",500k-999k TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Accountancy with Information Technology,ordinary diploma in accountancy with information technology,,Ordinary Diploma,NTA Level 6,diploma,ICT & Computing,Accounting & Finance,INSTITUTE OF ACCOUNTANCY ARUSHA (IAA) - BABATI CAMPUS,accountancy arusha iaa babati campus,,NACTVET,Technical Institution,Government,Manyara,Babati Town Counci,3; 2,,200,"Local Fee: TSH. 900,000/=",500k-999k TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Business Management,ordinary diploma in business management,,Ordinary Diploma,NTA Level 6,diploma,"Business, Finance & Management",Business & Management,INSTITUTE OF ACCOUNTANCY ARUSHA (IAA) - BABATI CAMPUS,accountancy arusha iaa babati campus,,NACTVET,Technical Institution,Government,Manyara,Babati Town Counci,3; 2,,130,"Local Fee: TSH. 900,000/=",500k-999k TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Computer Networking,ordinary diploma in computer networking,,Ordinary Diploma,NTA Level 6,diploma,ICT & Computing,ICT,INSTITUTE OF ACCOUNTANCY ARUSHA (IAA) - BABATI CAMPUS,accountancy arusha iaa babati campus,,NACTVET,Technical Institution,Government,Manyara,Babati Town Counci,3; 2,,100,"Local Fee: TSH. 900,000/=",500k-999k TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Computer Science,ordinary diploma in computer science,,Ordinary Diploma,NTA Level 6,diploma,ICT & Computing,ICT,INSTITUTE OF ACCOUNTANCY ARUSHA (IAA) - BABATI CAMPUS,accountancy arusha iaa babati campus,,NACTVET,Technical Institution,Government,Manyara,Babati Town Counci,2,,100,"Local Fee: TSH. 900,000/=",500k-999k TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Finance and Banking,ordinary diploma in finance and banking,,Ordinary Diploma,NTA Level 6,diploma,"Business, Finance & Management",Accounting & Finance,INSTITUTE OF ACCOUNTANCY ARUSHA (IAA) - BABATI CAMPUS,accountancy arusha iaa babati campus,,NACTVET,Technical Institution,Government,Manyara,Babati Town Counci,3; 2,,130,"Local Fee: TSH. 900,000/=",500k-999k TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Human Resources and Management,ordinary diploma in human resources and management,,Ordinary Diploma,NTA Level 6,diploma,"Business, Finance & Management",Business & Management,INSTITUTE OF ACCOUNTANCY ARUSHA (IAA) - BABATI CAMPUS,accountancy arusha iaa babati campus,,NACTVET,Technical Institution,Government,Manyara,Babati Town Counci,3; 2,,300; 200,"Local Fee: TSH. 900,000/=",500k-999k TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Information Technology,ordinary diploma in information technology,,Ordinary Diploma,NTA Level 6,diploma,ICT & Computing,ICT,INSTITUTE OF ACCOUNTANCY ARUSHA (IAA) - BABATI CAMPUS,accountancy arusha iaa babati campus,,NACTVET,Technical Institution,Government,Manyara,Babati Town Counci,3; 2,,200,"Local Fee: TSH. 900,000/=",500k-999k TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Procurement and Logistics Management,ordinary diploma in procurement and logistics management,,Ordinary Diploma,NTA Level 6,diploma,"Business, Finance & Management",Business & Management,INSTITUTE OF ACCOUNTANCY ARUSHA (IAA) - BABATI CAMPUS,accountancy arusha iaa babati campus,,NACTVET,Technical Institution,Government,Manyara,Babati Town Counci,3; 2,,130,"Local Fee: TSH. 900,000/=",500k-999k TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Accountancy,ordinary diploma in accountancy,,Ordinary Diploma,NTA Level 6,diploma,"Business, Finance & Management",Accounting & Finance,INSTITUTE OF ACCOUNTANCY ARUSHA (IAA) - DAR ES SALAAM CAMPUS,accountancy arusha iaa dar es salaam campus,,NACTVET,Technical Institution,Government,Dar es Salaam,Kinondoni Municipal Council,3; 2,,200; 50,"Local Fee: TSH. 1,108,000/=",1.0m-1.49m TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Business Management,ordinary diploma in business management,,Ordinary Diploma,NTA Level 6,diploma,"Business, Finance & Management",Business & Management,INSTITUTE OF ACCOUNTANCY ARUSHA (IAA) - DAR ES SALAAM CAMPUS,accountancy arusha iaa dar es salaam campus,,NACTVET,Technical Institution,Government,Dar es Salaam,Kinondoni Municipal Council,3; 2,,50,"Local Fee: TSH. 1,108,000/=",1.0m-1.49m TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Business Management with Chinese Language,ordinary diploma in business management with chinese language,,Ordinary Diploma,NTA Level 6,diploma,"Business, Finance & Management",Business & Management,INSTITUTE OF ACCOUNTANCY ARUSHA (IAA) - DAR ES SALAAM CAMPUS,accountancy arusha iaa dar es salaam campus,,NACTVET,Technical Institution,Government,Dar es Salaam,Kinondoni Municipal Council,3; 2,,500,"Local Fee: TSH. 900,000/=",500k-999k TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Computer Science,ordinary diploma in computer science,,Ordinary Diploma,NTA Level 6,diploma,ICT & Computing,ICT,INSTITUTE OF ACCOUNTANCY ARUSHA (IAA) - DAR ES SALAAM CAMPUS,accountancy arusha iaa dar es salaam campus,,NACTVET,Technical Institution,Government,Dar es Salaam,Kinondoni Municipal Council,3; 2,,100,"Local Fee: TSH. 1,183,000/=",1.0m-1.49m TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Computing and Information Technology,ordinary diploma in computing and information technology,,Ordinary Diploma,NTA Level 6,diploma,ICT & Computing,ICT,INSTITUTE OF ACCOUNTANCY ARUSHA (IAA) - DAR ES SALAAM CAMPUS,accountancy arusha iaa dar es salaam campus,,NACTVET,Technical Institution,Government,Dar es Salaam,Kinondoni Municipal Council,3; 2,,300,"Local Fee: TSH. 900,000/=",500k-999k TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Finance and Banking,ordinary diploma in finance and banking,,Ordinary Diploma,NTA Level 6,diploma,"Business, Finance & Management",Accounting & Finance,INSTITUTE OF ACCOUNTANCY ARUSHA (IAA) - DAR ES SALAAM CAMPUS,accountancy arusha iaa dar es salaam campus,,NACTVET,Technical Institution,Government,Dar es Salaam,Kinondoni Municipal Council,3; 2,,300; 100,"Local Fee: TSH. 1,100,000/=",1.0m-1.49m TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
Ordinary Diploma in Human Resources and Management,ordinary diploma in human resources and management,,Ordinary Diploma,NTA Level 6,diploma,"Business, Finance & Management",Business & Management,INSTITUTE OF ACCOUNTANCY ARUSHA (IAA) - DAR ES SALAAM CAMPUS,accountancy arusha iaa dar es salaam campus,,NACTVET,Technical Institution,Government,Dar es Salaam,Kinondoni Municipal Council,3; 2,,100,"Local Fee: TSH. 900,000/=",500k-999k TSH,Apply directly to the training institution; NACTVET verifies selected applicants.,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Programme row extracted from official NACTVET 2025/2026 guidebook.,no,
